sapl_id,tipo,numero,ano,conjunto_analise,ancora_adi,A1_dias_pl_lei,A2_urgencia,A3_parecer_plenario,A4_votacao_sem_nominal,A5_unanime,A6_sem_votacao_registrada,A7_dezembro,B1_n_alvos_em_escopo,B2_verbo_supressivo,B3_reincidencia_autor,B4_alvo_mais_emendado,B5_n_alvos,C1_retorica_verde,C2_eufemismo,C3_delegacao_executivo,C4_n_revogacoes,evidencias
8137,Lei ordinária,4141,2017,True,False,149,False,False,True,True,False,False,0,False,0,0,0,False,False,False,0,"{""A1"": ""apresentada 2017-04-25 → norma 2017-09-21"", ""A4"": ""2017-08-30: 17S/0N/0A; 2017-08-30: 16S/0N/0A"", ""A5"": ""2017-08-30: 17S/0N/0A; 2017-08-30: 16S/0N/0A""}"
8222,Lei ordinária,4223,2017,True,False,5,False,False,True,True,False,True,1,False,38,1,1,False,False,False,0,"{""A1"": ""apresentada 2017-12-13 → norma 2017-12-18"", ""A4"": ""2017-12-13: 19S/0N/0A; 2017-12-13: 17S/0N/0A"", ""A5"": ""2017-12-13: 19S/0N/0A; 2017-12-13: 17S/0N/0A"", ""A7"": ""promulgada em 2017-12-18"", ""B1"": ""Altera Lei ordinária 1841/2007 [registrado]"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
8238,Lei ordinária,4228,2017,True,True,63,False,False,False,False,True,True,0,False,5,0,0,False,False,False,0,"{""A1"": ""apresentada 2017-10-19 → norma 2017-12-21"", ""A7"": ""promulgada em 2017-12-21"", ""B3"": ""MAURÃO DE CARVALHO assina outras 5 do conjunto""}"
8262,Decreto Legislativo,790,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto""}"
8263,Decreto Legislativo,791,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto""}"
8264,Decreto Legislativo,792,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,True,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto"", ""C1"": ""ementa casa «SUSTENT»""}"
8265,Decreto Legislativo,793,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,True,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto"", ""C1"": ""ementa casa «SUSTENT»""}"
8266,Decreto Legislativo,794,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,True,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto"", ""C1"": ""ementa casa «SUSTENT»""}"
8267,Decreto Legislativo,795,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,True,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto"", ""C1"": ""ementa casa «SUSTENT»""}"
8268,Decreto Legislativo,796,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,True,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto"", ""C1"": ""ementa casa «PROTEÇ»""}"
8269,Decreto Legislativo,797,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto""}"
8270,Decreto Legislativo,798,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto""}"
8271,Decreto Legislativo,799,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto""}"
8272,Decreto Legislativo,800,2018,True,True,1,False,False,True,True,False,False,0,False,12,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-03-27 → norma 2018-03-28"", ""A4"": ""2018-03-27: 17S/0N/0A"", ""A5"": ""2018-03-27: 17S/0N/0A"", ""B3"": ""Coletiva assina outras 12 do conjunto""}"
8291,Decreto Legislativo,804,2018,True,False,3,False,False,True,True,False,False,0,False,0,0,0,True,False,False,0,"{""A1"": ""apresentada 2018-04-03 → norma 2018-04-06"", ""A4"": ""2018-04-05: 14S/0N/0A"", ""A5"": ""2018-04-05: 14S/0N/0A"", ""C1"": ""ementa casa «AMBIENTAL»""}"
8294,Lei ordinária,4247,2018,True,False,168,False,False,True,True,False,False,0,False,0,0,0,False,False,False,0,"{""A1"": ""apresentada 2017-10-19 → norma 2018-04-05"", ""A4"": ""2017-12-13: 24S/0N/0A; 2017-12-13: 23S/0N/0A"", ""A5"": ""2017-12-13: 24S/0N/0A; 2017-12-13: 23S/0N/0A""}"
8310,Decreto Legislativo,818,2018,True,False,23,True,False,True,True,False,False,0,False,5,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-03-20 → norma 2018-04-12"", ""A2"": ""tramitação com urgente=true no SAPL"", ""A4"": ""2018-04-10: 23S/0N/0A"", ""A5"": ""2018-04-10: 23S/0N/0A"", ""B3"": ""MAURÃO DE CARVALHO assina outras 5 do conjunto""}"
8320,Lei Complementar,974,2018,True,False,657,False,False,False,False,False,False,1,False,38,1,1,True,False,False,0,"{""A1"": ""apresentada 2016-06-28 → norma 2018-04-16"", ""A4"": ""2018-04-11: 14S/9N/0A; 2018-04-11: 14S/9N/0A"", ""A5"": ""2018-04-11: 14S/9N/0A; 2018-04-11: 14S/9N/0A"", ""B1"": ""altera Lei Complementar 633/2011 [inferido]"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas"", ""C1"": ""ementa casa «PROTEÇ»""}"
8352,Lei ordinária,4273,2018,True,False,82,False,False,True,True,False,False,1,False,0,1,1,False,False,False,0,"{""A1"": ""apresentada 2018-02-21 → norma 2018-05-14"", ""A4"": ""2018-03-13: 22S/0N/0A; 2018-03-13: 15S/0N/0A"", ""A5"": ""2018-03-13: 22S/0N/0A; 2018-03-13: 15S/0N/0A"", ""B1"": ""Altera Lei ordinária 3935/2016 [registrado]"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
8373,Lei ordinária,4283,2018,True,False,22,False,False,True,True,False,False,2,False,1,6,2,True,False,False,0,"{""A1"": ""apresentada 2018-04-24 → norma 2018-05-16"", ""A4"": ""2018-04-24: 24S/0N/0A; 2018-04-24: 17S/0N/0A"", ""A5"": ""2018-04-24: 24S/0N/0A; 2018-04-24: 17S/0N/0A"", ""B1"": ""Altera Lei ordinária 4131/2017 [registrado]; acrescenta Lei ordinária 3686/2015 [inferido]"", ""B3"": ""CLEITON ROQUE assina outras 1 do conjunto"", ""B4"": ""alvo mais emendado tem 6 alterações registradas"", ""C1"": ""ementa casa «AMBIENTAL»""}"
8484,Lei ordinária,4324,2018,True,False,70,False,False,True,True,False,False,0,False,38,1,1,True,False,False,0,"{""A1"": ""apresentada 2018-04-24 → norma 2018-07-03"", ""A4"": ""2018-06-26: 20S/0N/0A; 2018-06-26: 18S/0N/0A"", ""A5"": ""2018-06-26: 20S/0N/0A; 2018-06-26: 18S/0N/0A"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas"", ""C1"": ""ementa casa «PROTEÇ»""}"
8506,Lei ordinária,4339,2018,True,False,49,False,False,True,True,False,False,0,False,1,0,0,True,False,False,0,"{""A1"": ""apresentada 2018-06-12 → norma 2018-07-31"", ""A4"": ""2018-07-03: 14S/0N/0A; 2018-07-03: 14S/0N/0A"", ""A5"": ""2018-07-03: 14S/0N/0A; 2018-07-03: 14S/0N/0A"", ""B3"": ""JESUINO BOABAID assina outras 1 do conjunto"", ""C1"": ""ementa casa «MEIO AMBIENTE»""}"
8567,Lei ordinária,4379,2018,True,True,31,False,False,True,True,False,False,0,False,3,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-08-28 → norma 2018-09-28"", ""A4"": ""2018-08-28: 14S/0N/0A; 2018-08-28: 15S/0N/0A"", ""A5"": ""2018-08-28: 14S/0N/0A; 2018-08-28: 15S/0N/0A"", ""B3"": ""LAERTE GOMES assina outras 3 do conjunto""}"
8586,Lei Complementar,999,2018,True,True,21,False,False,False,True,False,False,0,False,38,0,0,False,False,False,0,"{""A1"": ""apresentada 2018-09-25 → norma 2018-10-16"", ""A4"": ""2018-09-25: 16S/0N/0A; 2018-09-25: 15S/0N/0A"", ""A5"": ""2018-09-25: 16S/0N/0A; 2018-09-25: 15S/0N/0A"", ""B3"": ""Poder Executivo assina outras 38 do conjunto""}"
8909,Lei ordinária,4513,2019,True,False,108,False,True,True,True,False,False,0,False,1,0,0,False,False,False,0,"{""A1"": ""apresentada 2019-02-19 → norma 2019-06-07"", ""A3"": ""nota taquigráfica de 2019-04-16 (parecer em plenário)"", ""A4"": ""2019-05-15: 20S/0N/0A; 2019-05-15: 13S/0N/0A"", ""A5"": ""2019-05-15: 20S/0N/0A; 2019-05-15: 13S/0N/0A"", ""B3"": ""JHONY PAIXÃO assina outras 1 do conjunto""}"
