sapl_id,tipo,numero,ano,data,dist,escopo,janela,ementa,na_selecao,materia_sapl_id,materia_resumo,situacao,n_altera,n_alterada_por,n_revoga,n_revogada_por,n_suspende,n_regulamenta
4227,Lei Complementar,468,2008,2008-07-21,1,SEM_SINAL,contexto,"CRIA, NO ÂMBITO DO PODER EXECUTIVO ESTADUAL, A SECRETARIA DE ESTADO DA AGRICULTURA, PECUÁRIA E REGULARIZAÇÃO FUNDIÁRIA – SEAGRI, E DÁ OUTRAS PROVIDÊNCIAS.",False,218,PL 100/2008,revogada parcial,0,0,0,1,0,0
3868,Lei ordinária,1841,2007,2007-12-28,1,ESCOPO,contexto,"DISPÕE SOBRE PRODUÇÃO, COMERCIALIZAÇÃO, TRANSPORTE, ARMAZENAMENTO E USO DE AGROTÓXICOS, SEUS COMPONENTES E AFINS NO ESTADO DE RONDÔNIA E REVOGA A LEI N° 1.017, ",False,,,revogada integral,0,0,0,1,0,0
445,Lei Complementar,312,2005,2005-05-06,1,SEM_SINAL,contexto,"ACRESCENTA E REVOGA DISPOSITIVOS DA LEI COMPLEMENTAR N° 233, DE 6 DE JUNHO DE 2000.",False,,,vigente (presumida),1,0,0,0,0,0
441,Lei Complementar,308,2004,2004-11-26,1,SEM_SINAL,contexto,"ACRESCENTA DISPOSITIVOS AO ARTIGO 7° DA LEI  COMPLEMENTAR N° 233, DE 6 DE JUNHO DE 2000",False,,,vigente (presumida),1,0,0,0,0,0
3122,Lei ordinária,1145,2002,2002-12-12,0,ESCOPO,contexto,"INSTITUI A POLÍTICA, CRIA O SISTEMA DE GERENCIAMENTO DE RESÍDUOS SÓLIDOS DO ESTADO DE RONDÔNIA, E DÁ OUTRAS PROVIDÊNCIAS.",True,,,vigente (presumida),0,0,0,0,0,0
388,Lei Complementar,255,2002,2002-01-05,0,ESCOPO,contexto,"INSTITUI A POLÍTICA, CRIA O SISTEMA DE GERENCIAMENTO DE RECURSOS HÍDRICOS DO ESTADO DE RONDÔNIA E DÁ OUTRAS PROVIDÊNCIAS.",True,,,vigente (presumida),0,0,0,0,0,0
366,Lei Complementar,233,2000,2000-06-06,0,ESCOPO,contexto,DISPÕE SOBRE O ZONEAMENTO SOCIOECONÔMICO-ECOLÓGICO DO ESTADO DE RONDONIA -  - ZSEE E DÁ OUTRAS PROVIDÊNCIAS.,True,,,vigente (presumida),1,4,3,0,0,0
1413,Lei ordinária,890,2000,2000-04-24,1,ESCOPO,contexto,"DISPÕE SOBRE PROCEDIMENTOS VINCULADOS À ELABORAÇÃO, ANÁLISE E APROVAÇÃO DE ESTUDO DE IMPACTO AMBIENTAL - EIA E RELATÓRIO DE IMPACTO AMBIENTAL - RIMA E DÁ OUTRAS",False,,,revogada integral,0,0,0,1,0,0
356,Lei Complementar,223,1999,1999-12-28,1,SEM_SINAL,contexto,Cria o Fundo de Aval do Estado de Rondônia,False,,,revogada integral,0,0,0,1,0,0
336,Lei Complementar,203,1998,1998-04-03,1,SEM_SINAL,contexto,"DÁ NOVA REDAÇÃO AO   §  2º  DO ART.  1º  DA LEI COMPLEMENTAR Nº  152, DE 24 DE JUNHO DE 1996, ALTERADA PELA LEI COMPLEMENTAR Nº  171, DE 23 DE MAIO DE 1997.
PR",False,,,revogada integral,0,0,0,1,0,0
