origem,fonte_sapl,fonte_tipo,fonte_num,fonte_ano,fonte_data,tipo_cod,tipo_sigla,relacao,alvo_kind,alvo_sapl,alvo_tipo,alvo_num,alvo_ano,alvo_data,sentido,fonte_na_selecao,alvo_na_selecao,fonte_escopo,fonte_janela,alvo_escopo,alvo_janela,fonte_pdf_url,alvo_pdf_url,fonte_texto_ok,alvo_texto_ok,normalizacao,revisar
registrado,5725,Lei ordinária,2746,2012,2012-05-18,,,originada de (PL),materia,3420,Matéria (PL),371,2012,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2012/5725/5725_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2012/3420/3420_texto_integral.pdf,True,False,,False
registrado,5726,Lei ordinária,2747,2012,2012-05-18,,,originada de (PL),materia,3421,Matéria (PL),372,2012,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2012/5726/5726_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2012/3421/3421_texto_integral.pdf,True,False,,False
registrado,6152,Lei Complementar,701,2013,2013-03-05,,,originada de (PL),materia,4341,Matéria (PL),97,2012,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6152/6152_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2012/4341/4341_texto_integral.pdf,True,False,,False
registrado,6330,Lei ordinária,3122,2013,2013-07-01,,,originada de (PL),materia,4703,Matéria (PL),788,2013,,norma→matéria,False,,FORA,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6330/6330_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2013/4703/4703_texto_integral.pdf,False,False,,False
registrado,6544,Lei Complementar,741,2013,2013-11-21,,,originada de (PL),materia,5850,Matéria (PL),161,2013,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6544/6544_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2013/5850/5850_texto_integral.pdf,True,False,,False
registrado,6768,Lei Complementar,775,2014,2014-06-02,,,originada de (PL),materia,6373,Matéria (PL),202,2014,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6768/6768_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2014/6373/6373_texto_integral.pdf,True,False,,False
registrado,6806,Lei Complementar,784,2014,2014-06-30,1,,Altera,norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,False,True,SEM_SINAL,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6806/6806_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,,False
registrado,6806,Lei Complementar,784,2014,2014-06-30,,,originada de (PL),materia,6663,Matéria (PL),214,2014,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6806/6806_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2014/6663/6663_texto_integral.pdf,True,False,,False
registrado,7127,Lei Complementar,828,2015,2015-07-15,,,originada de (PL),materia,7968,Matéria (PL),23,2015,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7127/7127_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/7968/pl_23-2015_-_msg_127-2015.pdf,True,False,,False
registrado,7294,Lei Complementar,846,2015,2015-12-08,,,originada de (PL),materia,9278,Matéria (PL),41,2015,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7294/7294_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/9278/9278_texto_integral.pdf,True,False,,False
