origem,fonte_sapl,fonte_tipo,fonte_num,fonte_ano,fonte_data,tipo_cod,tipo_sigla,relacao,alvo_kind,alvo_sapl,alvo_tipo,alvo_num,alvo_ano,alvo_data,sentido,fonte_na_selecao,alvo_na_selecao,fonte_escopo,fonte_janela,alvo_escopo,alvo_janela,fonte_pdf_url,alvo_pdf_url,fonte_texto_ok,alvo_texto_ok,normalizacao,revisar
registrado,5479,Lei Complementar,633,2011,2011-09-13,,,originada de (PL),materia,2869,Matéria (PL),28,2011,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5479/5479_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/2869/2869_texto_integral.pdf,True,False,,False
registrado,5452,Lei ordinária,2555,2011,2011-09-15,,,originada de (PL),materia,2791,Matéria (PL),196,2011,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5452/5452_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/2791/2791_texto_integral.pdf,True,False,,False
registrado,5496,Lei ordinária,2571,2011,2011-10-10,,,originada de (PL),materia,1831,Matéria (PL),71,2011,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5496/5496_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/1831/1831_texto_integral.pdf,True,False,,False
registrado,5480,Lei Complementar,634,2011,2011-10-14,3,,Revoga parcialmente,norma,5019,Lei Complementar,581,2010,2010-06-30,fonte→alvo,False,True,FORA,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5480/5480_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5019/5019_texto_integral.pdf,True,True,,False
registrado,5480,Lei Complementar,634,2011,2011-10-14,,,originada de (PL),materia,1617,Matéria (PL),254,2010,,norma→matéria,False,,FORA,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5480/5480_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1617/1617_texto_integral.pdf,True,False,,False
registrado,5485,Lei ordinária,2583,2011,2011-10-18,,,originada de (PL),materia,2722,Matéria (PL),170,2011,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5485/5485_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/2722/2722_texto_integral.pdf,True,False,,False
registrado,5572,Lei ordinária,2640,2011,2011-12-07,1,,Altera,norma,5399,Lei ordinária,2508,2011,2011-07-06,fonte→alvo,False,True,SEM_SINAL,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5572/5572_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5399/5399_texto_integral.pdf,True,True,,False
registrado,5572,Lei ordinária,2640,2011,2011-12-07,,,originada de (PL),materia,2962,Matéria (PL),225,2011,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5572/5572_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/2962/2962_texto_integral.pdf,True,False,,False
registrado,5584,Lei Complementar,647,2011,2011-12-20,,,originada de (PL),materia,3290,Matéria (PL),39,2011,,norma→matéria,False,,REVISAR,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5584/5584_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/3290/3290_texto_integral.pdf,False,False,,False
registrado,5711,Lei Complementar,664,2012,2012-05-07,,,originada de (PL),materia,3082,Matéria (PL),32,2011,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2012/5711/5711_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/3082/3082_texto_integral.pdf,True,False,,False
registrado,5999,Lei ordinária,2907,2012,2012-12-03,,,originada de (PL),materia,4209,Matéria (PL),610,2012,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2012/5999/5999_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2012/4209/4209_texto_integral.pdf,True,False,,False
registrado,6071,Lei ordinária,2962,2013,2013-01-10,,,originada de (PL),materia,4486,Matéria (PL),707,2012,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6071/6071_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2012/4486/4486_texto_integral.pdf,True,False,,False
